jdn,jyear,jmonth,jday,jordinal,gyear,gmonth,gday,gordinal
-2147483648,-5884202,March,16,75,-5884323,May,15,135
#-2298701,-11006,July,2,183,-11006,April,08,98
-214725,-5300,February,12,43,-5300,January,1,1
-178201,-5200,February,11,42,-5200,January,1,1
-141676,-5100,February,11,42,-5100,January,1,1
-105152,-5000,February,10,41,-5000,January,1,1
-68628,-4900,February,9,40,-4900,January,1,1
#-32469,-4801,February,8,39,-4801,January,1,1
#-32142,-4800,January,1,1,-4801,November,24,328
-32104,-4800,February,8,39,-4800,January,1,1
-31738,-4799,February,8,39,-4799,January,1,1
#-1403,-4716,February,28,59,-4716,January,21,21
-1402,-4716,February,29,60,-4716,January,22,22
#-1401,-4716,March,1,61,-4716,January,23,23
-1095,-4715,January,1,1,-4716,November,24,329
-730,-4714,January,1,1,-4715,November,24,328
-692,-4714,February,8,39,-4714,January,1,1
-365,-4713,January,1,1,-4714,November,24,328
-328,-4713,February,7,38,-4714,December,31,365
-327,-4713,February,8,39,-4713,January,1,1
-1,-4713,December,31,365,-4713,November,23,327
0,-4712,January,1,1,-4713,November,24,328
1,-4712,January,2,2,-4713,November,25,329
37,-4712,February,7,38,-4713,December,31,365
38,-4712,February,8,39,-4712,January,1,1
365,-4712,December,31,366,-4712,November,23,328
366,-4711,January,1,1,-4712,November,24,329
#403,-4711,February,7,38,-4712,December,31,366
404,-4711,February,8,39,-4711,January,1,1
730,-4711,December,31,365,-4711,November,23,327
731,-4710,January,1,1,-4711,November,24,328
768,-4710,February,7,38,-4711,December,31,365
769,-4710,February,8,39,-4710,January,1,1
1095,-4710,December,31,365,-4710,November,23,327
1096,-4709,January,1,1,-4710,November,24,328
1133,-4709,February,7,38,-4710,December,31,365
1134,-4709,February,8,39,-4709,January,1,1
1460,-4709,December,31,365,-4709,November,23,327
1461,-4708,January,1,1,-4709,November,24,328
1498,-4708,February,7,38,-4709,December,31,365
1499,-4708,February,8,39,-4708,January,1,1
1826,-4708,December,31,366,-4708,November,23,328
1827,-4707,January,1,1,-4708,November,24,329
1864,-4707,February,7,38,-4708,December,31,366
1865,-4707,February,8,39,-4707,January,1,1
4420,-4700,February,7,38,-4701,December,31,365
4421,-4700,February,8,39,-4700,January,1,1
4785,-4699,February,6,37,-4700,December,31,365
4786,-4699,February,7,38,-4699,January,1,1
40945,-4600,February,7,38,-4600,January,1,1
77469,-4500,February,6,37,-4500,January,1,1
113992,-4400,February,4,35,-4401,December,31,365
113993,-4400,February,5,36,-4400,January,1,1
150518,-4300,February,5,36,-4300,January,1,1
1719656,-4,February,29,60,-4,February,27,58
1721424,1,January,1,1,0,December,30,365
1721425,1,January,2,2,0,December,31,366
1721426,1,January,3,3,1,January,1,1
1794166,200,February,28,59,200,February,27,58
1794167,200,February,29,60,200,February,28,59
#1794168,200,March,1,61,200,March,1,60
1830691,300,February,28,59,300,February,28,59
1830692,300,February,29,60,300,March,1,60
#1830693,300,March,1,61,300,March,2,61
1830997,300,December,30,365,300,December,31,365
1830998,300,December,31,366,301,January,1,1
1830999,301,January,1,1,301,January,2,2
2159358,1200,January,1,1,1200,January,8,8
2195883,1300,January,1,1,1300,January,8,8
2232408,1400,January,1,1,1400,January,9,9
#2268932,1499,December,31,365,1500,January,9,9
2268933,1500,January,1,1,1500,January,10,10
#2268993,1500,March,1,61,1500,March,11,70
#2269115,1500,July,1,183,1500,July,11,192
#2269146,1500,August,1,214,1500,August,11,223
#2269177,1500,September,1,245,1500,September,11,254
#2269204,1500,September,28,272,1500,October,8,281
#2269205,1500,September,29,273,1500,October,9,282
#2269207,1500,October,1,275,1500,October,11,284
2269298,1500,December,31,366,1501,January,10,10
#2269299,1501,January,1,1,1501,January,11,11
#2269663,1501,December,31,365,1502,January,10,10
#2270123,1503,April,5,95,1503,April,15,105
#2270489,1504,April,5,96,1504,April,15,106
#2270854,1505,April,5,95,1505,April,15,105
#2271219,1506,April,5,95,1506,April,15,105
#2271584,1507,April,5,95,1507,April,15,105
#2298796,1581,October,5,278,1581,October,15,288
2298883,1581,December,31,365,1582,January,10,10
2298884,1582,January,1,1,1582,January,11,11
#2299159,1582,October,3,276,1582,October,13,286
2299160,1582,October,4,277,1582,October,14,287
2299161,1582,October,5,278,1582,October,15,288
2299162,1582,October,6,279,1582,October,16,289
#2299227,1582,December,10,344,1582,December,20,354
#2299232,1582,December,15,349,1582,December,25,359
2299238,1582,December,21,355,1582,December,31,365
2299239,1582,December,22,356,1583,January,1,1
#2299527,1583,October,6,279,1583,October,16,289
#2299620,1584,January,7,7,1584,January,17,17
#2301004,1587,October,22,295,1587,November,1,305
2305448,1599,December,22,356,1600,January,1,1
2305517,1600,February,29,60,1600,March,10,70
#2310076,1612,August,23,236,1612,September,2,246
